id;processo;tribunal;natureza;distribuicao_data;numero;instancia;codigo_identificador;id
120;8001335-15.2019.8.05.0032;TJBA;"CARTA PRECATORIA CIVEL";2019-07-19;80013351520198050032;1;"CARTA PRECATÓRIA CÍVEL 8001335-15.2019.8.05.0032";372342768
121;0011996-51.2014.8.10.0001;TJMA;"EXECUCAO DE TITULO EXTRAJUDICIAL";2014-01-27;119965120148100001;1;"0011996-51.2014.810.0001 Execução de Título Extrajudicial";359346597
122;0011996-51.2014.8.10.0001;TJMA;"PROCESSO CIVEL E DO TRABALHO PROCESSO DE CONHECIMENTO PROCEDIMENTO DE CONHECIMENTO PROCEDIMENTO COMUM CIVEL";2014-03-21;119965120148100001;1;"11996-51.2014.8.10.0001 PROCESSO CÍVEL E DO TRABALHO | Processo de Conhecimento | Procedimento de Conhecimento | Procedimento Comum Cível";373370641
123;0006617-48.2013.4.01.3300;TRF1;"APELACAO CIVEL";2015-08-07;224259820104013300;2;"APELAÇÃO CÍVEL 0022425-98.2010.4.01.3300";421781503
124;0006617-48.2013.4.01.3300;TRF1;"AGRAVO DE INSTRUMENTO";2013-09-23;570644620134010000;2;"0057064-46.2013.4.01.0000 Agravo de Instrumento 23/09/2013";373378761
125;0006617-48.2013.4.01.3300;TRF1;"APELACAO CIVEL";2015-08-07;224259820104013300;2;"0022425-98.2010.4.01.3300 Apelação Cível 07/08/2015";421711534
126;0006617-48.2013.4.01.3300;TRF1;"7 - PROCEDIMENTO COMUM CIVEL";2010-06-21;224259820104013300;1;"0022425-98.2010.4.01.3300 7 - Procedimento Comum Cível 14/06/2010";421709194
127;0006617-48.2013.4.01.3300;TRF1;"PROCEDIMENTO COMUM CIVEL";2010-06-21;224259820104013300;1;"PROCEDIMENTO COMUM CÍVEL 0022425-98.2010.4.01.3300";421778072
128;5479748-45.2019.8.09.0031;TJGO;"IMISSAO NA POSSE L E";2019-08-13;54797484520198090031;1;"5479748.45.2019.8.09.0031 Imissão na Posse ( L.E. )";374857035
129;5000550-64.2019.4.03.6129;TRF3;"ACAO CIVIL PUBLICA";2019-08-14;50005506420194036129;1;"AÇÃO CIVIL PÚBLICA 5000550-64.2019.4.03.6129";375038766
130;0015640-38.1992.4.03.6100;TRF3;"229 CUMPRIMENTO DE SENTENCA";2014-09-15;156403819924036100;1;"0015640-38.1992.4.03.6100 229 . CUMPRIMENTO DE SENTENCA";404145967
131;0015640-38.1992.4.03.6100;TRF3;"AP AGPT";2014-12-10;156403819924036100;2;"0015640-38.1992.4.03.6100 923 AP (AGPT) - SP";404146148
132;5002821-95.2019.4.04.7203;TRF4;"CUMPRIMENTO PROVISORIO DE SENTENCA";2019-06-28;50022060820194047203;1;"5002206-08.2019.4.04.7203 CUMPRIMENTO PROVISÓRIO DE SENTENÇA";369790953
133;8000236-61.2019.8.05.0185;TJBA;"EXECUCAO DE TITULO EXTRAJUDICIAL";2019-04-25;80002366120198050185;1;"EXECUÇÃO DE TÍTULO EXTRAJUDICIAL 8000236-61.2019.8.05.0185";359635523
134;0000302-91.2018.8.10.0083;TJMA;"PROCESSO CIVEL E DO TRABALHO PROCESSO DE CONHECIMENTO PROCEDIMENTO DE CONHECIMENTO PROCEDIMENTO COMUM CIVEL";2018-05-25;3029120188100083;1;"302-91.2018.8.10.0083 PROCESSO CÍVEL E DO TRABALHO | Processo de Conhecimento | Procedimento de Conhecimento | Procedimento Comum Cível";377263615
135;0003834-64.2019.8.26.0642;TJSP;"ACAO CIVIL PUBLICA CIVEL";2012-07-10;46101120128260642;1;"Ação Civil Pública Cível 0004610-11.2012.8.26.0642";418952003
136;5000632-69.2019.8.24.0053;TJSC;"CUMPRIMENTO DE SENTENCA";2021-02-05;50001306220218240053;1;"5000130-62.2021.8.24.0053 CUMPRIMENTO DE SENTENÇA";440562724
